JANUS CAPITAL MANAGEMENT LLC
20160930
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt - sshPrnamt	shrsOrPrnAmt - sshPrnamtType	investmentDiscretion	otherManager	votingAuthority - Sole	votingAuthority - Shared	votingAuthority - None
3M CO	COM	88579Y101	196460	1114791	SH	DFND	1	660516	0	454275
3M CO	COM	88579Y101	53265	302245	SH	SOLE	 	302245	0	0
58.COM INC-ADR	ADR	31680Q104	205	4300	SH	DFND	1	4200	0	100
AAON INC	COM	000360206	4943	171513	SH	SOLE	 	158696	0	12817
ABBOTT LABORATORIES	COM	002824100	13478	318695	SH	DFND	1	183995	0	134700
ABBOTT LABORATORIES	COM	002824100	1	24	SH	SOLE	 	24	0	0
ABBVIE INC	COM	00287Y109	14558	230825	SH	DFND	1	112825	0	118000
ABBVIE INC	COM	00287Y109	919493	14578930	SH	SOLE	 	14107902	0	471028
ABERDEEN ASIA-PAC INCOME FD	COM	003009107	461	90000	SH	SOLE	 	90000	0	0
ABIOMED INC	COM	003654100	13475	104800	SH	DFND	1	46100	0	58700
ABIOMED INC	COM	003654100	114	887	SH	SOLE	 	887	0	0
ACADIA HEALTHCARE CO INC	COM	00404A109	193	3900	SH	DFND	1	700	0	3200
ACADIA HEALTHCARE CO INC	COM	00404A109	42050	848637	SH	SOLE	 	769008	0	79629
ACADIA PHARMACEUTICALS INC	COM	004225108	101699	3197082	SH	SOLE	 	2966548	0	230534
ACCENTURE PLC-CL A	COM	G1151C101	214042	1752000	SH	DFND	1	1186800	0	565200
ACCENTURE PLC-CL A	COM	G1151C101	263230	2154618	SH	SOLE	 	1981849	0	172769
ACHILLION PHARMACEUTICALS	COM	00448Q201	45785	5652494	SH	SOLE	 	5124937	0	527557
ACI WORLDWIDE INC	COM	004498101	81484	4204523	SH	SOLE	 	3932785	0	271738
ACTIVISION BLIZZARD INC	COM	00507V109	220859	5015220	SH	DFND	1	3842728	0	1142800
ACTIVISION BLIZZARD INC	COM	00507V109	278734	6263005	SH	SOLE	 	5296290	0	966715
ACUITY BRANDS INC	COM	00508Y102	136933	517511	SH	DFND	1	373111	0	144400
ACUITY BRANDS INC	COM	00508Y102	1	4	SH	SOLE	 	4	0	0
